epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,10305.8,0.95894,0.49413,1.01405,0.77484,0.74302,0.77536,0.49288,1.36703,0.76107,1.26285,0.005842,0.005842,0.005842
44,10544,0.9548,0.49061,1.01594,0.76053,0.76048,0.77877,0.4955,1.37442,0.75909,1.27275,0.005743,0.005743,0.005743
45,10779.4,0.94959,0.49038,1.01143,0.77412,0.74785,0.77757,0.49586,1.37357,0.7583,1.27511,0.005644,0.005644,0.005644
46,11013.7,0.94788,0.48554,1.01108,0.77285,0.7401,0.77641,0.49567,1.37143,0.75898,1.27137,0.005545,0.005545,0.005545
47,11249,0.94231,0.48362,1.00587,0.777,0.74461,0.77778,0.4946,1.37073,0.76148,1.26979,0.005446,0.005446,0.005446
48,11484.5,0.93734,0.4842,1.006,0.77386,0.74698,0.7748,0.49318,1.37119,0.76525,1.27066,0.005347,0.005347,0.005347
49,11719.8,0.94097,0.4823,1.00734,0.76976,0.74779,0.77613,0.49244,1.37787,0.76569,1.27373,0.005248,0.005248,0.005248
50,11955.1,0.93099,0.4796,1.00354,0.76824,0.7527,0.77477,0.48996,1.38308,0.76652,1.2784,0.005149,0.005149,0.005149
51,12189.9,0.93083,0.47696,1.00557,0.78551,0.73566,0.77301,0.49012,1.37879,0.76606,1.27958,0.00505,0.00505,0.00505
52,12424.8,0.91754,0.47272,0.99588,0.77579,0.74803,0.7755,0.49183,1.37594,0.76433,1.27766,0.004951,0.004951,0.004951
53,12659.4,0.92201,0.47265,1.00079,0.77128,0.75459,0.77382,0.49083,1.37934,0.76406,1.2814,0.004852,0.004852,0.004852
54,12894.3,0.91768,0.46966,0.99805,0.77221,0.75076,0.77458,0.49111,1.37926,0.76094,1.28224,0.004753,0.004753,0.004753
55,13130.9,0.91494,0.4689,0.99556,0.76535,0.76116,0.77461,0.49114,1.37908,0.76288,1.2838,0.004654,0.004654,0.004654
56,13365.6,0.91023,0.4655,0.9968,0.76492,0.76441,0.77515,0.491,1.38307,0.76214,1.28516,0.004555,0.004555,0.004555
57,13601,0.91168,0.46478,0.99073,0.76657,0.76257,0.7751,0.49059,1.38375,0.76432,1.2872,0.004456,0.004456,0.004456
58,13840.7,0.90301,0.46395,0.99374,0.76871,0.75291,0.77453,0.49058,1.38514,0.76376,1.28737,0.004357,0.004357,0.004357
59,14075.5,0.89596,0.45971,0.98909,0.7881,0.73184,0.77277,0.48956,1.38453,0.76374,1.28752,0.004258,0.004258,0.004258
60,14310.3,0.89617,0.46351,0.98743,0.78596,0.73456,0.77274,0.49022,1.3827,0.7636,1.28785,0.004159,0.004159,0.004159
61,14544.9,0.89209,0.45937,0.98619,0.78418,0.73855,0.77374,0.49079,1.38056,0.7618,1.28739,0.00406,0.00406,0.00406
62,14781.3,0.89401,0.45686,0.98628,0.78371,0.73793,0.77367,0.49041,1.37994,0.76043,1.28788,0.003961,0.003961,0.003961
63,15015.9,0.88111,0.45174,0.98527,0.78454,0.73626,0.77367,0.49138,1.37827,0.76009,1.28697,0.003862,0.003862,0.003862
64,15250.1,0.88104,0.45461,0.9802,0.78318,0.739,0.77423,0.49205,1.37739,0.7605,1.28625,0.003763,0.003763,0.003763
65,15484.5,0.87934,0.45108,0.97918,0.78235,0.7402,0.77525,0.49254,1.37646,0.76106,1.28645,0.003664,0.003664,0.003664
66,15718.6,0.86907,0.44787,0.97986,0.78596,0.73602,0.77485,0.4927,1.37635,0.76002,1.28669,0.003565,0.003565,0.003565
67,15953.2,0.86849,0.44722,0.97631,0.78504,0.73637,0.77475,0.49283,1.37646,0.75936,1.28671,0.003466,0.003466,0.003466
68,16187.5,0.86458,0.44643,0.97584,0.78589,0.73513,0.77526,0.49334,1.37778,0.75958,1.28751,0.003367,0.003367,0.003367
69,16422.1,0.86239,0.44406,0.9739,0.78827,0.7348,0.77598,0.49343,1.37815,0.76009,1.28824,0.003268,0.003268,0.003268
70,16657.1,0.8553,0.44035,0.97313,0.78636,0.7369,0.77529,0.49316,1.37823,0.75958,1.28913,0.003169,0.003169,0.003169
71,16891.2,0.85353,0.4406,0.97181,0.7868,0.7372,0.77502,0.49277,1.37822,0.7591,1.28979,0.00307,0.00307,0.00307
72,17129.7,0.84892,0.43564,0.97128,0.7894,0.73528,0.77501,0.49305,1.37885,0.75916,1.29092,0.002971,0.002971,0.002971
73,17363.8,0.84638,0.43766,0.96908,0.7914,0.73373,0.77468,0.4929,1.37931,0.75968,1.29175,0.002872,0.002872,0.002872
74,17598.7,0.8381,0.43141,0.96537,0.79208,0.73438,0.77439,0.49286,1.38013,0.75994,1.29254,0.002773,0.002773,0.002773
75,17833.5,0.83524,0.43127,0.96504,0.79527,0.73217,0.7733,0.4922,1.38103,0.75985,1.2938,0.002674,0.002674,0.002674
76,18068.2,0.83376,0.42996,0.96247,0.7964,0.7321,0.77318,0.49225,1.3818,0.76034,1.2948,0.002575,0.002575,0.002575
77,18302.4,0.82817,0.42973,0.96184,0.79306,0.73514,0.77277,0.49181,1.38257,0.76073,1.29566,0.002476,0.002476,0.002476
78,18536.5,0.82466,0.42701,0.96083,0.79783,0.73166,0.77226,0.4915,1.38315,0.76092,1.29685,0.002377,0.002377,0.002377
79,18771.1,0.82239,0.42284,0.95932,0.79604,0.73282,0.77164,0.49137,1.38388,0.76125,1.29773,0.002278,0.002278,0.002278
80,19005.7,0.81988,0.42517,0.95875,0.79748,0.73176,0.77126,0.49115,1.38471,0.76174,1.29857,0.002179,0.002179,0.002179
81,19295.5,0.78386,0.40898,0.95392,0.79741,0.73141,0.77108,0.49093,1.38543,0.7621,1.29947,0.00208,0.00208,0.00208
82,19526.6,0.78027,0.40552,0.95396,0.79648,0.73182,0.77098,0.4908,1.38591,0.76197,1.30031,0.001981,0.001981,0.001981
83,19757.7,0.77142,0.40273,0.9472,0.79681,0.73152,0.77063,0.49061,1.38652,0.76249,1.30123,0.001882,0.001882,0.001882
84,19989.4,0.76579,0.40269,0.94781,0.79627,0.73114,0.77008,0.49043,1.3873,0.76317,1.30216,0.001783,0.001783,0.001783
85,20220.6,0.75986,0.40133,0.94476,0.79654,0.73133,0.76982,0.4903,1.3881,0.76417,1.30338,0.001684,0.001684,0.001684
86,20452.1,0.75691,0.39672,0.94296,0.79794,0.73009,0.76941,0.49011,1.38868,0.76471,1.30441,0.001585,0.001585,0.001585
87,20683,0.74723,0.39401,0.93815,0.79737,0.73084,0.76951,0.48996,1.38928,0.76536,1.30537,0.001486,0.001486,0.001486
88,20914.2,0.74234,0.3933,0.93772,0.79587,0.73151,0.7692,0.48996,1.38992,0.76596,1.30646,0.001387,0.001387,0.001387
89,21145.6,0.73892,0.3908,0.93631,0.79646,0.7316,0.76937,0.48978,1.39071,0.7662,1.30765,0.001288,0.001288,0.001288
90,21376.6,0.73136,0.38849,0.93383,0.79664,0.73132,0.76888,0.48959,1.39136,0.76657,1.30882,0.001189,0.001189,0.001189
91,21608,0.72816,0.38714,0.93228,0.7968,0.73133,0.76883,0.48965,1.3918,0.76726,1.30956,0.00109,0.00109,0.00109
92,21839.5,0.72486,0.38607,0.93086,0.79833,0.73005,0.7687,0.48954,1.39222,0.76795,1.31025,0.000991,0.000991,0.000991
93,22070.7,0.71666,0.38275,0.92751,0.79737,0.73094,0.76866,0.48952,1.39252,0.76818,1.31114,0.000892,0.000892,0.000892
94,22302.1,0.71293,0.38177,0.92617,0.79727,0.73099,0.76877,0.48956,1.39264,0.76856,1.31164,0.000793,0.000793,0.000793
95,22532.8,0.70785,0.38017,0.92434,0.79707,0.73083,0.76843,0.4893,1.39311,0.76895,1.31218,0.000694,0.000694,0.000694
96,22764.1,0.7019,0.37691,0.92195,0.79598,0.73159,0.76829,0.48916,1.39339,0.76955,1.31265,0.000595,0.000595,0.000595
97,22995.3,0.69703,0.37472,0.91935,0.796,0.73189,0.76836,0.48913,1.39388,0.7697,1.31327,0.000496,0.000496,0.000496
98,23226,0.69279,0.37301,0.91916,0.79458,0.73236,0.76811,0.48902,1.39426,0.77026,1.3137,0.000397,0.000397,0.000397
99,23457,0.69068,0.3724,0.91512,0.79495,0.73182,0.76806,0.48877,1.39449,0.77067,1.31414,0.000298,0.000298,0.000298
100,23688.2,0.68671,0.37145,0.91609,0.79408,0.73277,0.76807,0.48877,1.39492,0.77128,1.3146,0.000199,0.000199,0.000199
